precision	recall	threshold
0.5555555555555556	1.0	0.015067753025168237
0.5384615384615384	0.9333333333333333	0.19203941565207672
0.56	0.9333333333333333	0.22670120229227292
0.5833333333333334	0.9333333333333333	0.2497102723402809
0.6086956521739131	0.9333333333333333	0.4038233894598046
0.6363636363636364	0.9333333333333333	0.4336641629674742
0.6190476190476191	0.8666666666666667	0.44671520648021124
0.6	0.8	0.45477402884973384
0.631578947368421	0.8	0.47124175235946325
0.6111111111111112	0.7333333333333333	0.5210057149551878
0.6470588235294118	0.7333333333333333	0.5216897290603049
0.625	0.6666666666666666	0.5220112939621333
0.6666666666666666	0.6666666666666666	0.524759487192737
0.6428571428571429	0.6	0.5402708767327044
0.6153846153846154	0.5333333333333333	0.5579783871358759
0.5833333333333334	0.4666666666666667	0.5800955300466146
0.6363636363636364	0.4666666666666667	0.6186713594553284
0.6	0.4	0.6212886335778062
0.6666666666666666	0.4	0.6684514790435461
0.625	0.3333333333333333	0.6824829364354779
0.5714285714285714	0.26666666666666666	0.7014836400373394
0.6666666666666666	0.26666666666666666	0.7047314190686421
0.8	0.26666666666666666	0.7573623138715664
0.75	0.2	0.7711606284109356
0.6666666666666666	0.13333333333333333	0.8237561460350129
0.5	0.06666666666666667	0.9471675915367461
0.0	0.0	0.960351494921895
1.0	0.0	
