fpr	tpr	threshold
0.0	0.0	inf
0.08333333333333333	0.0	0.960351494921895
0.08333333333333333	0.26666666666666666	0.7573623138715664
0.25	0.26666666666666666	0.7014836400373394
0.25	0.4	0.6684514790435461
0.3333333333333333	0.4	0.6212886335778062
0.3333333333333333	0.4666666666666667	0.6186713594553284
0.4166666666666667	0.4666666666666667	0.5800955300466146
0.4166666666666667	0.6666666666666666	0.524759487192737
0.5	0.6666666666666666	0.5220112939621333
0.5	0.7333333333333333	0.5216897290603049
0.5833333333333334	0.7333333333333333	0.5210057149551878
0.5833333333333334	0.8	0.47124175235946325
0.6666666666666666	0.8	0.45477402884973384
0.6666666666666666	0.9333333333333333	0.4336641629674742
1.0	0.9333333333333333	0.19203941565207672
1.0	1.0	0.015067753025168237
